ID,Energiedragers,Perioden,TotaalAanbodTPES_1,Winning_2,Invoer_3,Uitvoer_4,NettoInvoer_5,Bunkering_6,Voorraadmutatie_7,StatistischeVerschillen_8,TotaalEnergieverbruik_9,TotaalInzet_10,InzetElektriciteitWKKOmzetting_11,InzetAndereOmzetting_12,TotaalProductie_13,ProductieElektriciteitWKKOmzetting_14,ProductieAndereOmzetting_15,TotaalSaldoEnergieomzetting_16,SaldoElektriciteitWKKOmzetting_17,SaldoAndereOmzetting_18,Totaal_19,ElektriciteitsEnWarmteproductie_20,WinningVanOlieEnGas_21,Cokesfabrieken_22,Hoogovens_23,OlieraffinageInstallaties_24,OverigeInstallaties_25,VerliezenBijDistributie_26,TotaalFinaalVerbruik_27,Totaal_28,Totaal_29,IJzerEnStaalindustrie_30,ChemieEnFarmaceutischeIndustrie_31,NonFerrometalen_32,Bouwmaterialenindustrie_33,Transportmiddelenindustrie_34,MetaalproductenEnMachineIndustrie_35,DelfstoffenwinningGeenOlieEnGas_36,VoedingsEnGenotmiddelenindustrie_37,PapierEnGrafischeIndustrie_38,Houtindustrie_39,Bouwnijverheid_40,TextielKledingEnLederindustrie_41,OverigeIndustrieEnOnbekend_42,Totaal_43,BinnenlandseLuchtvaart_44,Wegverkeer_45,Railverkeer_46,Pijpleidingen_47,BinnenlandseScheepvaart_48,Onbekend_49,Totaal_50,DienstenAfvalWaterEnReparatie_51,Woningen_52,Landbouw_53,Visserij_54,Onbekend_55,Totaal_56,NijverheidExclusiefDeEnergiesector_57,WaarvanChemieEnPetrochemie_58,Vervoer_59,OverigeAfnemers_60
0,T001027   ,1946JJ00,,,,,151.0,17.0,-16.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,T001027   ,1947JJ00,,,,,203.0,34.0,-23.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,T001027   ,1948JJ00,,,,,185.0,38.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,T001027   ,1949JJ00,,,,,209.0,48.0,4.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,T001027   ,1950JJ00,,,,,271.0,61.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,T001027   ,1951JJ00,,,,,326.0,81.0,-9.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,T001027   ,1952JJ00,,,,,317.0,78.0,-11.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,T001027   ,1953JJ00,,,,,316.0,75.0,11.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,T001027   ,1954JJ00,,,,,384.0,108.0,27.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,T001027   ,1955JJ00,,,,,472.0,118.0,-12.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10,T001027   ,1956JJ00,,,,,549.0,129.0,-5.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11,T001027   ,1957JJ00,,,,,540.0,120.0,-41.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
